UNITS:	meters	
KIND:	mlv	
INTERVAL:	dly	
LOCATION:	mhu	
# daily lwa		
2015-09-16 , 	176.69
2015-09-17 , 	176.70
2015-09-18 , 	176.69
2015-09-19 , 	176.70
2015-09-20 , 	176.70
2015-09-21 , 	176.70
2015-09-22 , 	176.68
2015-09-23 , 	176.68
2015-09-24 , 	176.68
2015-09-25 , 	176.68
2015-09-26 , 	176.68
2015-09-27 , 	176.68
2015-09-28 , 	176.67
2015-09-29 , 	176.66
2015-09-30 , 	176.65
2015-10-01 , 	176.64
2015-10-02 , 	176.62
2015-10-03 , 	176.61
2015-10-04 , 	176.62
2015-10-05 , 	176.62
2015-10-06 , 	176.61
2015-10-07 , 	176.62
2015-10-08 , 	176.60
2015-10-09 , 	176.62
2015-10-10 , 	176.61
2015-10-11 , 	176.61
2015-10-12 , 	176.59
2015-10-13 , 	176.59
2015-10-14 , 	176.58
2015-10-15 , 	176.57
2015-10-16 , 	176.56
2015-10-17 , 	176.56
2015-10-18 , 	176.56
2015-10-19 , 	176.56
2015-10-20 , 	176.55
2015-10-21 , 	176.54
2015-10-22 , 	176.54
2015-10-23 , 	176.54
2015-10-24 , 	176.54
2015-10-25 , 	176.53
2015-10-26 , 	176.53
2015-10-27 , 	176.53
2015-10-28 , 	176.54
2015-10-29 , 	176.54
2015-10-30 , 	176.55
2015-10-31 , 	176.55
2015-11-01 , 	176.56
2015-11-02 , 	176.54
2015-11-03 , 	176.55
2015-11-04 , 	176.55
2015-11-05 , 	176.55
2015-11-06 , 	176.55
2015-11-07 , 	176.55
2015-11-08 , 	176.54
2015-11-09 , 	176.53
2015-11-10 , 	176.53
2015-11-11 , 	176.54
2015-11-12 , 	176.54
2015-11-13 , 	176.55
2015-11-14 , 	176.54
2015-11-15 , 	176.53
2015-11-16 , 	176.53
2015-11-17 , 	176.55
2015-11-18 , 	176.55
2015-11-19 , 	176.55
2015-11-20 , 	176.53
2015-11-21 , 	176.52
2015-11-22 , 	176.52
2015-11-23 , 	176.51
2015-11-24 , 	176.52
2015-11-25 , 	176.53
2015-11-26 , 	176.53
2015-11-27 , 	176.53
2015-11-28 , 	176.53
2015-11-29 , 	176.52
2015-11-30 , 	176.53
2015-12-01 , 	176.52
2015-12-02 , 	176.53
2015-12-03 , 	176.54
2015-12-04 , 	176.53
2015-12-05 , 	176.53
2015-12-06 , 	176.52
2015-12-07 , 	176.53
2015-12-08 , 	176.52
2015-12-09 , 	176.52
2015-12-10 , 	176.52
2015-12-11 , 	176.52
2015-12-12 , 	176.52
2015-12-13 , 	176.55
2015-12-14 , 	176.56
2015-12-15 , 	176.58
2015-12-16 , 	176.56
2015-12-17 , 	176.57
2015-12-18 , 	176.56
2015-12-19 , 	176.58
2015-12-20 , 	176.57
2015-12-21 , 	176.56
2015-12-22 , 	176.58
2015-12-23 , 	176.58
2015-12-24 , 	176.57
2015-12-25 , 	176.57
2015-12-26 , 	176.55
2015-12-27 , 	176.59
2015-12-28 , 	176.58
2015-12-29 , 	176.59
2015-12-30 , 	176.60
2015-12-31 , 	176.60
2016-01-01 , 	176.60
2016-01-02 , 	176.58
2016-01-03 , 	176.58
2016-01-04 , 	176.58
2016-01-05 , 	176.59
2016-01-06 , 	176.58
2016-01-07 , 	176.57
2016-01-08 , 	176.56
2016-01-09 , 	176.55
2016-01-10 , 	176.59
2016-01-11 , 	176.56
2016-01-12 , 	176.59
2016-01-13 , 	176.57
2016-01-14 , 	176.56
2016-01-15 , 	176.56
2016-01-16 , 	176.57
2016-01-17 , 	176.57
2016-01-18 , 	176.56
2016-01-19 , 	176.56
2016-01-20 , 	176.56
2016-01-21 , 	176.56
2016-01-22 , 	176.55
2016-01-23 , 	176.56
2016-01-24 , 	176.55
2016-01-25 , 	176.54
2016-01-26 , 	176.56
2016-01-27 , 	176.56
2016-01-28 , 	176.54
2016-01-29 , 	176.55
2016-01-30 , 	176.55
2016-01-31 , 	176.54
2016-02-01 , 	176.56
2016-02-02 , 	176.55
2016-02-03 , 	176.57
2016-02-04 , 	176.57
2016-02-05 , 	176.57
2016-02-06 , 	176.58
2016-02-07 , 	176.57
2016-02-08 , 	176.57
2016-02-09 , 	176.56
2016-02-10 , 	176.56
2016-02-11 , 	176.56
2016-02-12 , 	176.56
2016-02-13 , 	176.56
2016-02-14 , 	176.56
2016-02-15 , 	176.55
2016-02-16 , 	176.55
2016-02-17 , 	176.56
2016-02-18 , 	176.55
2016-02-19 , 	176.55
2016-02-20 , 	176.56
2016-02-21 , 	176.55
2016-02-22 , 	176.55
2016-02-23 , 	176.55
2016-02-24 , 	176.53
2016-02-25 , 	176.56
2016-02-26 , 	176.57
2016-02-27 , 	176.57
2016-02-28 , 	176.54
2016-02-29 , 	176.57
2016-03-01 , 	176.56
2016-03-02 , 	176.56
2016-03-03 , 	176.56
2016-03-04 , 	176.56
2016-03-05 , 	176.57
2016-03-06 , 	176.57
2016-03-07 , 	176.56
2016-03-08 , 	176.57
2016-03-09 , 	176.57
2016-03-10 , 	176.58
2016-03-11 , 	176.58
2016-03-12 , 	176.58
2016-03-13 , 	176.58
2016-03-14 , 	176.60
2016-03-15 , 	176.60
2016-03-16 , 	176.62
2016-03-17 , 	176.62
2016-03-18 , 	176.61
2016-03-19 , 	176.62
2016-03-20 , 	176.62
2016-03-21 , 	176.62
2016-03-22 , 	176.62
2016-03-23 , 	176.64
2016-03-24 , 	176.64
2016-03-25 , 	176.66
2016-03-26 , 	176.66
2016-03-27 , 	176.66
2016-03-28 , 	176.68
2016-03-29 , 	176.68
2016-03-30 , 	176.71
2016-03-31 , 	176.70
2016-04-01 , 	176.72
2016-04-02 , 	176.74
2016-04-03 , 	176.73
2016-04-04 , 	176.74
2016-04-05 , 	176.75
2016-04-06 , 	176.74
2016-04-07 , 	176.76
2016-04-08 , 	176.75
2016-04-09 , 	176.78
2016-04-10 , 	176.76
2016-04-11 , 	176.77
2016-04-12 , 	176.77
2016-04-13 , 	176.77
2016-04-14 , 	176.76
2016-04-15 , 	176.76
2016-04-16 , 	176.77
2016-04-17 , 	176.77
2016-04-18 , 	176.78
2016-04-19 , 	176.77
2016-04-20 , 	176.78
2016-04-21 , 	176.78
2016-04-22 , 	176.78
2016-04-23 , 	176.78
2016-04-24 , 	176.78
2016-04-25 , 	176.79
2016-04-26 , 	176.80
2016-04-27 , 	176.80
2016-04-28 , 	176.80
2016-04-29 , 	176.80
2016-04-30 , 	176.80
2016-05-01 , 	176.80
2016-05-02 , 	176.81
2016-05-03 , 	176.80
2016-05-04 , 	176.80
2016-05-05 , 	176.81
2016-05-06 , 	176.80
2016-05-07 , 	176.81
2016-05-08 , 	176.81
2016-05-09 , 	176.80
2016-05-10 , 	176.80
2016-05-11 , 	176.82
2016-05-12 , 	176.82
2016-05-13 , 	176.82
2016-05-14 , 	176.83
2016-05-15 , 	176.83
2016-05-16 , 	176.82
2016-05-17 , 	176.82
2016-05-18 , 	176.82
2016-05-19 , 	176.82
2016-05-20 , 	176.81
2016-05-21 , 	176.82
2016-05-22 , 	176.82
2016-05-23 , 	176.82
2016-05-24 , 	176.82
2016-05-25 , 	176.83
2016-05-26 , 	176.83
2016-05-27 , 	176.84
2016-05-28 , 	176.84
2016-05-29 , 	176.84
2016-05-30 , 	176.83
2016-05-31 , 	176.83
2016-06-01 , 	176.83
2016-06-02 , 	176.84
2016-06-03 , 	176.83
2016-06-04 , 	176.83
2016-06-05 , 	176.85
2016-06-06 , 	176.84
2016-06-07 , 	176.84
2016-06-08 , 	176.84
2016-06-09 , 	176.83
2016-06-10 , 	176.84
2016-06-11 , 	176.84
2016-06-12 , 	176.84
2016-06-13 , 	176.83
2016-06-14 , 	176.83
2016-06-15 , 	176.84
2016-06-16 , 	176.85
2016-06-17 , 	176.85
2016-06-18 , 	176.85
2016-06-19 , 	176.85
2016-06-20 , 	176.85
2016-06-21 , 	176.84
2016-06-22 , 	176.84
2016-06-23 , 	176.84
2016-06-24 , 	176.84
2016-06-25 , 	176.85
2016-06-26 , 	176.85
2016-06-27 , 	176.84
2016-06-28 , 	176.84
2016-06-29 , 	176.84
2016-06-30 , 	176.83
2016-07-01 , 	176.84
2016-07-02 , 	176.84
2016-07-03 , 	176.83
2016-07-04 , 	176.83
2016-07-05 , 	176.83
2016-07-06 , 	176.83
2016-07-07 , 	176.84
2016-07-08 , 	176.84
2016-07-09 , 	176.84
2016-07-10 , 	176.84
2016-07-11 , 	176.84
2016-07-12 , 	176.85
2016-07-13 , 	176.85
2016-07-14 , 	176.84
2016-07-15 , 	176.83
2016-07-16 , 	176.84
2016-07-17 , 	176.83
2016-07-18 , 	176.84
2016-07-19 , 	176.83
2016-07-20 , 	176.84
2016-07-21 , 	176.84
2016-07-22 , 	176.84
2016-07-23 , 	176.84
2016-07-24 , 	176.84
2016-07-25 , 	176.84
2016-07-26 , 	176.84
2016-07-27 , 	176.84
2016-07-28 , 	176.83
2016-07-29 , 	176.83
2016-07-30 , 	176.83
2016-07-31 , 	176.83
2016-08-01 , 	176.83
2016-08-02 , 	176.83
2016-08-03 , 	176.83
2016-08-04 , 	176.81
2016-08-05 , 	176.81
2016-08-06 , 	176.80
2016-08-07 , 	176.80
2016-08-08 , 	176.80
2016-08-09 , 	176.79
2016-08-10 , 	176.79
2016-08-11 , 	176.80
2016-08-12 , 	176.80
2016-08-13 , 	176.81
2016-08-14 , 	176.81
2016-08-15 , 	176.81
2016-08-16 , 	176.82
2016-08-17 , 	176.82
2016-08-18 , 	176.83
2016-08-19 , 	176.84
2016-08-20 , 	176.82
2016-08-21 , 	176.84
2016-08-22 , 	176.83
2016-08-23 , 	176.84
2016-08-24 , 	176.83
2016-08-25 , 	176.83
2016-08-26 , 	176.82
2016-08-27 , 	176.82
2016-08-28 , 	176.82
2016-08-29 , 	176.82
2016-08-30 , 	176.81
2016-08-31 , 	176.80
2016-09-01 , 	176.80
2016-09-02 , 	176.80
2016-09-03 , 	176.80
2016-09-04 , 	176.79
2016-09-05 , 	176.79
2016-09-06 , 	176.80
2016-09-07 , 	176.81
2016-09-08 , 	176.80
2016-09-09 , 	176.80
2016-09-10 , 	176.80
2016-09-11 , 	176.80
2016-09-12 , 	176.78
2016-09-13 , 	176.78
2016-09-14 , 	176.78
2016-09-15 , 	176.78
2016-09-16 , 	176.78
2016-09-17 , 	176.78
2016-09-18 , 	176.78
2016-09-19 , 	176.78
2016-09-20 , 	176.77
2016-09-21 , 	176.77
2016-09-22 , 	176.76
2016-09-23 , 	176.75
2016-09-24 , 	176.75
2016-09-25 , 	176.76
2016-09-26 , 	176.76
2016-09-27 , 	176.74
2016-09-28 , 	176.72
2016-09-29 , 	176.72
2016-09-30 , 	176.72
2016-10-01 , 	176.73
2016-10-02 , 	176.73
2016-10-03 , 	176.73
2016-10-04 , 	176.73
2016-10-05 , 	176.72
2016-10-06 , 	176.73
2016-10-07 , 	176.72
2016-10-08 , 	176.71
2016-10-09 , 	176.70
2016-10-10 , 	176.70
2016-10-11 , 	176.69
2016-10-12 , 	176.69
2016-10-13 , 	176.69
2016-10-14 , 	176.70
2016-10-15 , 	176.69
2016-10-16 , 	176.70
2016-10-17 , 	176.70
2016-10-18 , 	176.70
2016-10-19 , 	176.69
2016-10-20 , 	176.68
2016-10-21 , 	176.68
2016-10-22 , 	176.67
2016-10-23 , 	176.65
2016-10-24 , 	176.66
2016-10-25 , 	176.65
2016-10-26 , 	176.64
2016-10-27 , 	176.66
2016-10-28 , 	176.64
2016-10-29 , 	176.64
2016-10-30 , 	176.65
2016-10-31 , 	176.64
2016-11-01 , 	176.64
2016-11-02 , 	176.64
2016-11-03 , 	176.64
2016-11-04 , 	176.64
2016-11-05 , 	176.63
2016-11-06 , 	176.64
2016-11-07 , 	176.63
2016-11-08 , 	176.62
2016-11-09 , 	176.62
2016-11-10 , 	176.61
2016-11-11 , 	176.61
2016-11-12 , 	176.62
2016-11-13 , 	176.61
2016-11-14 , 	176.59
2016-11-15 , 	176.59
2016-11-16 , 	176.59
2016-11-17 , 	176.59
2016-11-18 , 	176.57
2016-11-19 , 	176.55
2016-11-20 , 	176.54
2016-11-21 , 	176.54
2016-11-22 , 	176.54
2016-11-23 , 	176.53
2016-11-24 , 	176.54
2016-11-25 , 	176.54
2016-11-26 , 	176.54
2016-11-27 , 	176.55
2016-11-28 , 	176.56
2016-11-29 , 	176.56
2016-11-30 , 	176.55
2016-12-01 , 	176.55
2016-12-02 , 	176.55
2016-12-03 , 	176.55
2016-12-04 , 	176.56
2016-12-05 , 	176.56
2016-12-06 , 	176.55
2016-12-07 , 	176.54
2016-12-08 , 	176.53
2016-12-09 , 	176.53
2016-12-10 , 	176.53
2016-12-11 , 	176.52
2016-12-12 , 	176.53
2016-12-13 , 	176.52
2016-12-14 , 	176.52
2016-12-15 , 	176.52
2016-12-16 , 	176.50
2016-12-17 , 	176.49
2016-12-18 , 	176.52
2016-12-19 , 	176.52
2016-12-20 , 	176.50
2016-12-21 , 	176.48
2016-12-22 , 	176.49
2016-12-23 , 	176.48
2016-12-24 , 	176.48
2016-12-25 , 	176.47
2016-12-26 , 	176.48
2016-12-27 , 	176.49
2016-12-28 , 	176.47
2016-12-29 , 	176.48
2016-12-30 , 	176.47
2016-12-31 , 	176.48
2017-01-01 , 	176.47
2017-01-02 , 	176.45
2017-01-03 , 	176.45
2017-01-04 , 	176.48
2017-01-05 , 	176.47
2017-01-06 , 	176.46
2017-01-07 , 	176.46
2017-01-08 , 	176.46
2017-01-09 , 	176.47
2017-01-10 , 	176.46
2017-01-11 , 	176.46
2017-01-12 , 	176.46
2017-01-13 , 	176.46
2017-01-14 , 	176.46
2017-01-15 , 	176.47
2017-01-16 , 	176.46
2017-01-17 , 	176.47
2017-01-18 , 	176.48
2017-01-19 , 	176.47
2017-01-20 , 	176.47
2017-01-21 , 	176.48
2017-01-22 , 	176.48
2017-01-23 , 	176.48
2017-01-24 , 	176.49
2017-01-25 , 	176.48
2017-01-26 , 	176.49
2017-01-27 , 	176.49
2017-01-28 , 	176.48
2017-01-29 , 	176.49
2017-01-30 , 	176.49
2017-01-31 , 	176.48
2017-02-01 , 	176.48
2017-02-02 , 	176.48
2017-02-03 , 	176.48
2017-02-04 , 	176.47
2017-02-05 , 	176.48
2017-02-06 , 	176.47
2017-02-07 , 	176.46
2017-02-08 , 	176.47
2017-02-09 , 	176.49
2017-02-10 , 	176.48
2017-02-11 , 	176.46
2017-02-12 , 	176.48
2017-02-13 , 	176.48
2017-02-14 , 	176.46
2017-02-15 , 	176.47
2017-02-16 , 	176.46
2017-02-17 , 	176.46
2017-02-18 , 	176.46
2017-02-19 , 	176.46
2017-02-20 , 	176.46
2017-02-21 , 	176.47
2017-02-22 , 	176.46
2017-02-23 , 	176.49
2017-02-24 , 	176.48
2017-02-25 , 	176.52
2017-02-26 , 	176.51
2017-02-27 , 	176.51
2017-02-28 , 	176.52
2017-03-01 , 	176.52
2017-03-02 , 	176.53
2017-03-03 , 	176.54
2017-03-04 , 	176.53
2017-03-05 , 	176.52
2017-03-06 , 	176.55
2017-03-07 , 	176.56
2017-03-08 , 	176.54
2017-03-09 , 	176.52
2017-03-10 , 	176.53
2017-03-11 , 	176.53
2017-03-12 , 	176.54
2017-03-13 , 	176.52
2017-03-14 , 	176.51
2017-03-15 , 	176.52
2017-03-16 , 	176.52
2017-03-17 , 	176.52
2017-03-18 , 	176.53
2017-03-19 , 	176.52
2017-03-20 , 	176.52
2017-03-21 , 	176.52
2017-03-22 , 	176.52
2017-03-23 , 	176.52
2017-03-24 , 	176.53
2017-03-25 , 	176.54
2017-03-26 , 	176.54
2017-03-27 , 	176.55
2017-03-28 , 	176.55
2017-03-29 , 	176.55
2017-03-30 , 	176.56
2017-03-31 , 	176.57
2017-04-01 , 	176.57
2017-04-02 , 	176.57
2017-04-03 , 	176.58
2017-04-04 , 	176.60
2017-04-05 , 	176.59
2017-04-06 , 	176.60
2017-04-07 , 	176.62
2017-04-08 , 	176.63
2017-04-09 , 	176.64
2017-04-10 , 	176.64
2017-04-11 , 	176.65
2017-04-12 , 	176.66
2017-04-13 , 	176.65
2017-04-14 , 	176.66
2017-04-15 , 	176.68
2017-04-16 , 	176.69
2017-04-17 , 	176.69
2017-04-18 , 	176.69
2017-04-19 , 	176.70
2017-04-20 , 	176.70
2017-04-21 , 	176.72
2017-04-22 , 	176.71
2017-04-23 , 	176.71
2017-04-24 , 	176.71
2017-04-25 , 	176.72
2017-04-26 , 	176.72
2017-04-27 , 	176.74
2017-04-28 , 	176.73
2017-04-29 , 	176.74
2017-04-30 , 	176.74
2017-05-01 , 	176.77
2017-05-02 , 	176.78
2017-05-03 , 	176.78
2017-05-04 , 	176.77
2017-05-05 , 	176.77
2017-05-06 , 	176.78
2017-05-07 , 	176.78
2017-05-08 , 	176.78
2017-05-09 , 	176.78
2017-05-10 , 	176.78
2017-05-11 , 	176.79
2017-05-12 , 	176.79
2017-05-13 , 	176.79
2017-05-14 , 	176.79
2017-05-15 , 	176.79
2017-05-16 , 	176.80
2017-05-17 , 	176.80
2017-05-18 , 	176.80
2017-05-19 , 	176.79
2017-05-20 , 	176.80
2017-05-21 , 	176.82
2017-05-22 , 	176.82
2017-05-23 , 	176.82
2017-05-24 , 	176.82
2017-05-25 , 	176.83
2017-05-26 , 	176.83
2017-05-27 , 	176.83
2017-05-28 , 	176.84
2017-05-29 , 	176.85
2017-05-30 , 	176.85
2017-05-31 , 	176.85
2017-06-01 , 	176.84
2017-06-02 , 	176.83
2017-06-03 , 	176.84
2017-06-04 , 	176.84
2017-06-05 , 	176.84
2017-06-06 , 	176.84
2017-06-07 , 	176.84
2017-06-08 , 	176.84
2017-06-09 , 	176.85
2017-06-10 , 	176.86
2017-06-11 , 	176.86
2017-06-12 , 	176.86
2017-06-13 , 	176.85
2017-06-14 , 	176.86
2017-06-15 , 	176.87
2017-06-16 , 	176.88
2017-06-17 , 	176.89
2017-06-18 , 	176.90
2017-06-19 , 	176.90
2017-06-20 , 	176.89
2017-06-21 , 	176.90
2017-06-22 , 	176.92
2017-06-23 , 	176.93
2017-06-24 , 	176.93
2017-06-25 , 	176.93
2017-06-26 , 	176.94
2017-06-27 , 	176.94
2017-06-28 , 	176.96
2017-06-29 , 	176.97
2017-06-30 , 	176.97
2017-07-01 , 	176.97
2017-07-02 , 	176.97
2017-07-03 , 	176.97
2017-07-04 , 	176.97
2017-07-05 , 	176.98
2017-07-06 , 	176.98
2017-07-07 , 	176.97
2017-07-08 , 	176.98
2017-07-09 , 	176.98
2017-07-10 , 	176.98
2017-07-11 , 	176.98
2017-07-12 , 	177.00
2017-07-13 , 	177.00
2017-07-14 , 	177.00
2017-07-15 , 	177.00
2017-07-16 , 	176.99
2017-07-17 , 	177.00
2017-07-18 , 	176.99
2017-07-19 , 	177.00
2017-07-20 , 	177.00
2017-07-21 , 	177.00
2017-07-22 , 	177.00
2017-07-23 , 	177.00
2017-07-24 , 	177.01
2017-07-25 , 	177.01
2017-07-26 , 	177.02
2017-07-27 , 	177.01
2017-07-28 , 	177.00
2017-07-29 , 	177.00
2017-07-30 , 	177.00
2017-07-31 , 	177.00
2017-08-01 , 	177.00
2017-08-02 , 	177.00
2017-08-03 , 	177.01
2017-08-04 , 	177.01
2017-08-05 , 	177.01
2017-08-06 , 	177.00
2017-08-07 , 	177.01
2017-08-08 , 	177.00
2017-08-09 , 	177.00
2017-08-10 , 	177.00
2017-08-11 , 	177.00
2017-08-12 , 	177.00
2017-08-13 , 	177.00
2017-08-14 , 	176.99
2017-08-15 , 	176.99
2017-08-16 , 	177.00
2017-08-17 , 	177.01
2017-08-18 , 	177.01
2017-08-19 , 	177.01
2017-08-20 , 	177.01
2017-08-21 , 	177.00
2017-08-22 , 	177.00
2017-08-23 , 	176.99
2017-08-24 , 	176.99
2017-08-25 , 	176.98
2017-08-26 , 	176.98
2017-08-27 , 	176.98
2017-08-28 , 	176.97
2017-08-29 , 	176.97
2017-08-30 , 	176.97
2017-08-31 , 	176.96
2017-09-01 , 	176.96
2017-09-02 , 	176.96
2017-09-03 , 	176.96
2017-09-04 , 	176.96
2017-09-05 , 	176.95
2017-09-06 , 	176.95
2017-09-07 , 	176.95
2017-09-08 , 	176.94
2017-09-09 , 	176.94
2017-09-10 , 	176.94
2017-09-11 , 	176.93
2017-09-12 , 	176.93
2017-09-13 , 	176.93
2017-09-14 , 	176.92
2017-09-15 , 	176.92
2017-09-16 , 	176.92
2017-09-17 , 	176.92
2017-09-18 , 	176.91
2017-09-19 , 	176.92
2017-09-20 , 	176.92
2017-09-21 , 	176.92
2017-09-22 , 	176.92
2017-09-23 , 	176.92
2017-09-24 , 	176.91
2017-09-25 , 	176.91
2017-09-26 , 	176.89
2017-09-27 , 	176.90
2017-09-28 , 	176.89
2017-09-29 , 	176.88
2017-09-30 , 	176.88
2017-10-01 , 	176.87
2017-10-02 , 	176.87
2017-10-03 , 	176.88
2017-10-04 , 	176.86
2017-10-05 , 	176.86
2017-10-06 , 	176.87
2017-10-07 , 	176.88
2017-10-08 , 	176.87
2017-10-09 , 	176.86
2017-10-10 , 	176.86
2017-10-11 , 	176.86
2017-10-12 , 	176.86
2017-10-13 , 	176.86
2017-10-14 , 	176.86
2017-10-15 , 	176.88
2017-10-16 , 	176.88
2017-10-17 , 	176.88
2017-10-18 , 	176.88
2017-10-19 , 	176.87
2017-10-20 , 	176.86
2017-10-21 , 	176.86
2017-10-22 , 	176.86
2017-10-23 , 	176.91
2017-10-24 , 	176.89
2017-10-25 , 	176.89
2017-10-26 , 	176.88
2017-10-27 , 	176.88
2017-10-28 , 	176.88
2017-10-29 , 	176.88
2017-10-30 , 	176.88
2017-10-31 , 	176.88
2017-11-01 , 	176.87
2017-11-02 , 	176.86
2017-11-03 , 	176.87
2017-11-04 , 	176.86
2017-11-05 , 	176.86
2017-11-06 , 	176.86
2017-11-07 , 	176.85
2017-11-08 , 	176.84
2017-11-09 , 	176.84
2017-11-10 , 	176.84
2017-11-11 , 	176.83
2017-11-12 , 	176.83
2017-11-13 , 	176.83
2017-11-14 , 	176.85
2017-11-15 , 	176.82
2017-11-16 , 	176.84
2017-11-17 , 	176.83
2017-11-18 , 	176.84
2017-11-19 , 	176.86
2017-11-20 , 	176.86
2017-11-21 , 	176.85
2017-11-22 , 	176.84
2017-11-23 , 	176.86
2017-11-24 , 	176.83
2017-11-25 , 	176.84
2017-11-26 , 	176.84
2017-11-27 , 	176.84
2017-11-28 , 	176.83
2017-11-29 , 	176.82
2017-11-30 , 	176.83
2017-12-01 , 	176.82
2017-12-02 , 	176.82
2017-12-03 , 	176.83
2017-12-04 , 	176.84
2017-12-05 , 	176.84
2017-12-06 , 	176.82
2017-12-07 , 	176.82
2017-12-08 , 	176.81
2017-12-09 , 	176.80
2017-12-10 , 	176.81
2017-12-11 , 	176.78
2017-12-12 , 	176.80
2017-12-13 , 	176.79
2017-12-14 , 	176.80
2017-12-15 , 	176.79
2017-12-16 , 	176.78
2017-12-17 , 	176.79
2017-12-18 , 	176.78
2017-12-19 , 	176.78
2017-12-20 , 	176.77
2017-12-21 , 	176.76
2017-12-22 , 	176.76
2017-12-23 , 	176.77
2017-12-24 , 	176.76
2017-12-25 , 	176.77
2017-12-26 , 	176.76
2017-12-27 , 	176.74
2017-12-28 , 	176.75
2017-12-29 , 	176.74
2017-12-30 , 	176.74
2017-12-31 , 	176.79
